date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
2013-12-16,54,M,Black or Black British,6,19,M,None,Solved,51.46941,-0.11581,Lambeth
2013-12-17,31,M,White or White British,1,24,F,Knife,Solved,51.5768,0.11839,Redbridge
2013-12-19,43,F,White or White British,1,43,M,None,Solved,51.60199,-0.11591,Haringey
2013-12-21,74,F,Asian or Asian British,1,35,M,Knife,Solved,51.53099,-0.17668,Westminster
2013-12-26,31,M,Asian or Asian British,2,32,M,Gun,Unsolved,51.5132,-0.12929,Westminster
2013-12-29,33,F,Black or Black British,1,37,M,Knife,Solved,51.53096,-0.37714,Ealing
2014-01-09,1,M,Asian or Asian British,1,33,F,None,Solved,51.58544,-0.30352,Brent
2014-01-09,5,M,Asian or Asian British,1,33,F,None,Solved,51.58544,-0.30352,Brent
2014-01-28,27,F,White or White British,1,28,M,Knife,Solved,51.54594,0.03957,Newham
2014-01-31,48,F,Any Other Ethnic Appearance,1,39,M,Blunt Object,Solved,51.49033,-0.19584,Kensington and Chelsea
2014-02-03,19,M,Asian or Asian British,1,19,M,Knife,Solved,51.52486,-0.16849,Westminster
2014-02-07,24,M,White or White British,4,17,M,Knife,Solved,51.54188,-0.39613,Ealing
2014-02-07,22,M,Black or Black British,4,18,M,Knife,Solved,51.47267,-0.12062,Lambeth
2014-02-11,73,M,Asian or Asian British,,,,None,Unsolved,51.43009,-0.16922,Wandsworth
2014-02-12,43,F,Asian or Asian British,1,15,M,Knife,Solved,51.5338,-0.03626,Tower Hamlets
2014-02-18,29,M,Asian or Asian British,2,16,M,Knife,Solved,51.53507,0.03534,Newham
2014-02-20,46,M,White or White British,4,17,M,Knife,Solved,51.4946,-0.42013,Hillingdon
2014-02-27,20,M,Black or Black British,2,21,M,Knife,Solved,51.46616,-0.11195,Lambeth
2014-03-01,20,M,Black or Black British,4,19,M,Knife,Solved,51.56129,0.01363,Waltham Forest
2014-03-01,21,M,Black or Black British,4,19,M,Knife,Solved,51.56129,0.01363,Waltham Forest
2014-03-02,71,M,White or White British,1,30,M,Other,Solved,51.41406,0.01795,Bromley
2014-03-13,39,M,White or White British,3,35,M,None,Solved,51.55676,0.15157,Barking and Dagenham
2014-03-15,37,M,White or White British,3,21,M,None,Solved,51.39773,-0.0759,Croydon
2014-03-16,55,M,White or White British,1,20,M,Knife,Solved,51.5818,-0.29333,Brent
